id1,id2,station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,valid_ET,Day Of Week ET,sunrise,sunset,daylight
35,67,JYO,2023-09-01 22:35:00+00:00,78.8,50.0,36.51,130.0,3.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 012235Z AUTO 13003KT 10SM CLR 26/10 A3024 RMK AO2,,2023-09-01 18:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
36,68,JYO,2023-09-01 22:55:00+00:00,78.8,51.8,39.02,100.0,3.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 012255Z AUTO 10003KT 10SM CLR 26/11 A3024 RMK AO2,,2023-09-01 18:55:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
37,69,JYO,2023-09-01 23:15:00+00:00,78.8,51.8,39.02,120.0,5.0,0.0,30.23,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 012315Z AUTO 12005KT 10SM CLR 26/11 A3023 RMK AO2,,2023-09-01 19:15:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
38,70,JYO,2023-09-01 23:35:00+00:00,77.0,51.8,41.42,100.0,3.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,77.0,KJYO 012335Z AUTO 10003KT 10SM CLR 25/11 A3024 RMK AO2,,2023-09-01 19:35:00-04:00,4,2023-09-01 10:37:07.576681+00:00,2023-09-01 23:38:34.757806+00:00,True
39,104,JYO,2023-09-02 10:55:00+00:00,55.4,53.6,93.65,0.0,0.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,55.4,KJYO 021055Z AUTO 00000KT 10SM CLR 13/12 A3026 RMK AO2,,2023-09-02 06:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
40,105,JYO,2023-09-02 11:15:00+00:00,53.6,53.6,100.0,0.0,0.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,53.6,KJYO 021115Z AUTO 00000KT 10SM CLR 12/12 A3026 RMK AO2,,2023-09-02 07:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
41,106,JYO,2023-09-02 11:35:00+00:00,55.4,53.6,93.65,0.0,0.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,55.4,KJYO 021135Z AUTO 00000KT 10SM CLR 13/12 A3027 RMK AO2,,2023-09-02 07:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
42,107,JYO,2023-09-02 11:55:00+00:00,59.0,55.4,87.83,0.0,0.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,59.0,KJYO 021155Z AUTO 00000KT 10SM CLR 15/13 A3027 RMK AO2,,2023-09-02 07:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
43,108,JYO,2023-09-02 12:15:00+00:00,60.8,55.4,82.37,0.0,0.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,60.8,KJYO 021215Z AUTO 00000KT 10SM CLR 16/13 A3027 RMK AO2,,2023-09-02 08:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
44,109,JYO,2023-09-02 12:35:00+00:00,62.6,57.2,82.5,0.0,0.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,62.6,KJYO 021235Z AUTO 00000KT 10SM CLR 17/14 A3027 RMK AO2,,2023-09-02 08:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
45,110,JYO,2023-09-02 12:55:00+00:00,64.4,57.2,77.45,0.0,0.0,0.0,30.27,,10.0,,CLR,,,,,,,,,,,,,,,64.4,KJYO 021255Z AUTO 00000KT 10SM CLR 18/14 A3027 RMK AO2,,2023-09-02 08:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
46,111,JYO,2023-09-02 13:15:00+00:00,64.4,57.2,77.45,0.0,0.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,64.4,KJYO 021315Z AUTO 00000KT 10SM CLR 18/14 A3026 RMK AO2,,2023-09-02 09:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
47,112,JYO,2023-09-02 13:35:00+00:00,68.0,59.0,72.92,0.0,0.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,68.0,KJYO 021335Z AUTO 00000KT 10SM CLR 20/15 A3026 RMK AO2,,2023-09-02 09:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
48,113,JYO,2023-09-02 13:55:00+00:00,69.8,59.0,68.55,170.0,4.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,69.8,KJYO 021355Z AUTO 17004KT 10SM CLR 21/15 A3026 RMK AO2,,2023-09-02 09:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
49,114,JYO,2023-09-02 14:15:00+00:00,71.6,59.0,64.48,250.0,3.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,71.6,KJYO 021415Z AUTO 25003KT 10SM CLR 22/15 A3026 RMK AO2,,2023-09-02 10:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
50,115,JYO,2023-09-02 14:35:00+00:00,71.6,59.0,64.48,250.0,3.0,0.0,30.26,,10.0,,CLR,,,,,,,,,,,,,,,71.6,KJYO 021435Z AUTO 25003KT 10SM CLR 22/15 A3026 RMK AO2,,2023-09-02 10:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
